,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Other
197301,  -4.84,  -6.80,  -3.78,   4.71,   1.96,  -2.12,  -4.18,  -1.22,  -4.61,  -7.55
197302,  -4.64,  -6.48,  -2.63,  -7.81,  -3.29,  -5.60,  -6.63,  -0.94,  -2.62,  -6.30
197303,  -1.29,  -2.86,  -0.32,   3.00,  -1.25,   0.24,  -5.72,   0.74,  -2.51,  -0.51
197304,  -6.31,  -5.30,  -4.53,  -1.11,  -6.66,   0.88,  -8.61,  -5.56,  -1.00,  -7.88
197305,  -2.41,  -5.01,  -1.47,  -4.21,  -2.92,  -1.98,  -2.46,   0.86,  -0.33,  -5.27
197306,  -3.70,  -2.71,  -0.48,   1.57,  -0.12,  -0.50,  -5.84,  -0.04,  -2.97,  -0.54
197307,   7.33,   7.10,   6.50,   0.09,   4.93,  -0.32,  11.02,   6.83,  -2.79,   9.40
197308,  -3.67,  -4.61,  -1.84,  -4.44,  -4.03,  -5.09,  -4.42,  -7.16,  -2.85,  -2.55
197309,   5.67,   7.63,   4.48,   9.16,  -2.90,   7.45,   7.12,   0.77,   7.51,   7.02
197310,  -2.37,  -4.47,   0.30,   4.79,   3.89,  -5.54,  -3.78,   1.79,  -3.93,  -1.16
197311, -14.67, -17.69, -14.67,  -6.67, -11.77,  -3.05, -19.26,  -8.00, -12.30, -13.70
197312,  -1.80,  -3.85,   1.13,   8.59,  -4.40,   4.22,  -0.36,  -4.53,   2.89,   2.19
197401,   2.30,   5.90,   0.30,  -7.74,   1.23,   2.00,   6.60,  -2.60,   4.02,   0.98
197402,  -0.29,  -2.02,  -0.44,  -2.16,  -1.03,   3.58,   0.51,  -1.51,  -0.47,   0.79
197403,  -2.20,  -0.17,  -0.90,  -3.30,  -2.79,  -4.92,  -3.25,   1.14,  -4.11,  -3.93
197404,  -3.83,  -4.26,  -2.21,  -6.51,  -3.65,  -5.31,  -2.12,  -1.53, -12.76,  -6.54
197405,  -3.28,  -0.42,  -2.95,  -8.31,  -4.67,  -2.88,   0.89,  -0.44,  -5.83,  -8.73
197406,  -0.92,  -2.88,  -0.58,  -0.40,  -3.02,   0.02,  -2.85,  -1.68,  -6.85,  -5.90
197407, -10.30, -12.04,  -7.33,  -0.76,  -8.26,  -7.63, -12.96, -14.20,   0.13,  -6.81
197408, -10.65,  -7.63, -10.68,  -9.53,  -5.52,  -1.74, -13.43,  -8.50,  -9.72, -11.04
197409, -12.63, -13.21, -13.03,  -8.03, -17.00,  -4.04, -12.50, -15.58,  -2.10, -10.05
197410,  15.43,   4.18,  15.80,  20.11,  14.68,  10.85,   9.83,  29.49,  12.16,  19.90
197411,  -4.48,  -5.83,  -6.64,  -5.02,  -5.62,  -4.56,  -6.33,  -1.63,  -1.17,  -3.18
197412,  -1.00,  -4.49,  -4.70,   0.71,  -5.38,   1.14,  -3.59,  -3.40,  -1.58,  -4.86
197501,  18.53,  21.19,  14.35,   6.53,  15.28,  11.09,  25.68,  -0.77,  18.17,  17.64
197502,   3.59,   3.96,   7.35,   1.25,  12.48,   3.79,   4.74,  15.60,  -0.04,   2.53
197503,   6.70,   6.52,   4.85,  -2.43,   0.89,  -1.24,  10.60,   1.19,  -2.00,   3.68
197504,   2.86,   3.96,   9.38,   6.82,   5.53,  -0.96,   2.43,   0.59,  -2.22,   3.07
197505,   4.80,   1.90,   2.32,  11.59,   5.32,   2.13,   3.65,   6.14,   7.56,   5.40
197506,   4.89,   9.96,   3.38,   6.14,   2.20,   3.70,   7.32,   0.89,  10.05,   5.56
197507,  -5.51,  -2.18,  -6.06,  -4.64,  -9.45,  -4.21,  -7.60, -12.08,  -5.33,  -6.34
197508,  -3.54,  -4.10,  -1.28,  -1.47,  -3.61,  -4.89,  -0.75,  -3.76,  -2.13,  -5.47
197509,  -2.81,  -2.71,  -5.98,  -1.26,  -0.94,  -1.66,  -3.64,  -6.58,  -1.62,  -6.69
197510,  10.39,   8.62,   5.43,  -1.78,   8.36,   6.81,   9.74,  10.57,   5.94,   3.65
197511,   3.66,   2.79,   2.53,  -2.28,   4.42,   2.94,   4.28,   4.75,   2.34,   3.26
197512,  -1.81,  -0.71,  -1.52,   0.01,  -1.36,  -0.50,  -3.20,  -6.44,   0.70,  -0.70
197601,  10.77,  15.49,  16.73,   8.18,  18.25,   9.49,   8.83,   7.70,   7.79,  12.76
197602,  -1.44,   3.35,   1.29,  -3.91,   0.65,   2.26,   4.38,  -6.94,  -4.26,   2.82
197603,   0.37,   3.32,   0.97,   7.15,   2.84,   0.23,   3.32,   6.41,   0.73,   1.60
197604,  -1.80,   1.73,  -1.53,   2.11,  -3.44,   1.72,  -4.80,  -4.34,   0.10,  -1.72
197605,  -2.56,  -3.87,  -1.69,   4.45,  -0.02,  -4.21,  -6.09,  -3.24,  -2.29,  -2.09
197606,   3.26,   4.02,   3.52,   5.04,   8.11,   3.23,   1.37,   3.55,   3.60,   5.05
197607,   1.35,  -1.20,  -1.96,  -0.76,  -2.22,   1.25,  -2.48,  -0.42,   2.30,  -0.22
197608,  -0.74,  -2.12,  -2.17,  -1.71,  -1.42,   3.44,   2.54,   1.64,   2.06,  -1.50
197609,   1.22,   4.28,   0.91,   5.86,   2.81,   1.30,   0.29,   3.60,   3.53,   0.57
197610,  -1.80,  -1.31,  -3.45,  -2.66,  -4.53,   1.28,  -1.05,  -3.88,  -1.32,  -0.62
197611,   1.22,  -2.53,  -0.93,   0.03,   1.02,   1.88,   4.47, -10.15,   2.36,   1.65
197612,   4.96,   9.43,   5.67,   6.27,   3.77,   3.16,   2.20,   6.23,   5.92,   8.07
197701,  -4.28,  -4.34,  -6.19,   0.12,  -3.90,   0.10,  -7.31,  -8.96,   0.41,  -4.36
197702,  -1.78,  -4.17,  -1.10,  -3.85,  -1.29,  -0.34,  -2.32,  -0.67,  -4.21,  -2.06
197703,  -1.78,  -3.56,  -0.54,  -2.13,  -0.16,  -1.28,  -2.92,  -1.94,  -0.37,  -0.49
197704,   0.38,   2.98,   0.47,   2.49,  -3.48,   0.65,  -3.60,  -5.26,   1.42,   1.96
197705,  -1.43,  -1.76,  -3.57,  -1.44,  -2.19,   0.11,  -3.22,  -2.62,   0.87,  -1.30
197706,   4.12,   4.03,   3.19,   6.02,   7.65,   1.65,   5.88,   8.99,   5.15,   4.94
197707,   1.09,  -2.61,  -3.73,  -1.83,  -0.18,  -0.87,  -0.37,  -2.30,   0.42,  -0.58
197708,  -0.39,  -1.56,  -1.90,  -6.78,  -0.18,  -3.58,   4.17,   3.15,  -4.03,  -1.64
197709,  -0.15,   1.26,  -1.21,   0.67,  -1.89,   3.19,  -0.89,  -0.97,   1.45,  -0.42
197710,  -3.54,  -4.64,  -4.82,  -3.71,  -3.26,  -5.07,  -3.37,  -1.92,  -3.60,  -4.71
197711,   4.01,  -0.38,   3.63,   2.42,   4.51,   0.78,   5.11,   5.44,   3.33,   6.08
197712,  -0.33,  -0.85,   0.49,   1.82,   2.26,   1.83,  -1.43,   0.58,  -0.90,   0.18
197801,  -5.49,  -7.05,  -6.25,  -7.17,  -4.76,  -4.18,  -7.03,  -2.01,  -5.01,  -5.55
197802,  -0.44,  -0.55,  -3.27,  -2.08,  -4.24,   2.61,  -1.05,  -3.63,  -1.27,  -0.57
197803,   3.72,   5.76,   3.63,   2.00,  -0.77,   2.27,   2.63,   4.04,   1.86,   4.98
197804,   6.75,   9.41,  11.31,   6.66,  13.27,   2.92,  10.63,   9.18,  -0.38,   9.18
197805,   3.70,  -0.87,   3.43,  -0.31,   0.93,  -1.83,   0.77,   4.46,  -0.18,   2.14
197806,  -0.68,  -3.15,  -1.70,  -3.80,  -0.49,  -1.84,  -2.18,   1.10,   0.15,  -0.74
197807,   3.34,   4.50,   7.63,   3.18,   8.55,   1.41,   4.93,   8.71,   2.41,   6.40
197808,   3.68,   2.18,   3.36,   4.01,   5.33,   2.05,   5.24,   0.45,  -0.50,   5.98
197809,  -0.78,  -0.83,  -2.30,   4.71,  -4.25,   0.93,  -2.86,  -2.79,  -0.86,  -1.62
197810, -11.75, -11.37, -11.57, -11.10, -10.89,  -4.48, -14.35, -12.96,  -7.74, -14.33
197811,   1.50,  -1.32,   2.07,   5.40,   4.32,   1.49,   2.05,   4.57,   2.13,   2.07
197812,   1.31,  -0.75,   1.18,   2.74,   6.29,  -0.25,  -0.83,   3.28,  -1.98,   0.81
197901,   4.00,   4.84,   6.31,   2.66,   4.26,   3.64,   5.51,   1.31,   5.77,   5.83
197902,  -4.05,  -4.77,  -5.14,  -0.16,  -4.06,  -2.16,  -4.97,  -5.09,  -2.53,  -3.63
197903,   3.64,   6.54,   7.09,   9.30,   7.47,  -0.19,   5.89,   4.83,   1.63,   7.65
197904,   0.01,   2.71,  -0.72,   4.17,   0.28,  -2.16,   0.63,   0.26,  -3.24,   1.28
197905,  -2.31,  -2.24,  -2.94,  -3.42,  -2.70,  -1.64,  -3.00,  -3.29,   0.35,  -0.75
197906,   2.78,   2.93,   3.23,   9.21,   0.36,   1.75,   2.61,   4.77,   4.18,   6.55
197907,   1.84,   1.82,   1.78,   1.28,  -1.57,  -0.13,   0.93,   0.03,   1.55,   3.12
197908,   6.95,   3.80,   7.03,   7.08,   5.16,  -0.24,   8.30,   7.82,   1.05,   5.39
197909,  -2.28,   0.07,  -0.91,   5.88,  -1.86,  -2.61,  -0.95,  -0.58,  -2.72,  -1.03
197910,  -7.85,  -9.65,  -9.11,  -3.00,  -7.80,  -5.07,  -9.14,  -4.50,  -6.55, -10.40
197911,   4.45,  -3.68,   3.89,   8.27,   7.33,   2.25,   3.25,   8.16,   6.74,   6.57
197912,   2.97,   3.22,   4.16,   2.43,   1.66,  -1.93,   2.81,   1.94,  -1.71,   3.73
198001,   2.92,   8.81,   6.85,  13.93,   7.31,  -2.08,   1.07,  -1.39,   0.96,   5.29
198002,  -5.41,  -7.51,  -3.12,  12.30,  -4.26,  -3.29,  -5.44,  -5.28,  -4.44,  -3.74
198003,  -8.66,  -8.86, -12.06, -17.98, -12.82,  -3.05,  -8.88,  -2.96,  -7.33, -12.77
198004,   6.27,  -2.07,   2.94,   6.57,   0.67,   7.30,   3.03,   4.16,  11.39,   5.83
198005,   7.33,   3.19,   5.55,   3.37,   3.95,   3.09,  10.07,   6.34,   3.52,   7.68
198006,   2.45,   2.72,   2.01,   5.72,   2.88,  -0.87,   2.11,   0.06,   3.80,   4.61
198007,   7.58,  11.61,  10.59,   1.69,  15.42,   0.98,  10.57,   8.71,  -0.67,   6.68
198008,   0.85,   0.86,   0.96,   3.07,   2.96,   4.55,   1.31,  -0.30,  -2.11,   2.32
198009,  -0.18,   0.59,   2.61,   6.43,   1.86,  -1.98,   1.04,   3.52,  -0.63,   3.43
198010,   0.01,  -1.87,   0.14,   7.35,   1.93,  -3.27,  -1.41,  -1.45,   1.24,   1.41
198011,   0.41,   4.33,   7.78,  23.82,   9.19,  -1.76,   2.09,   8.39,   6.47,   7.37
198012,   0.58,  -1.51,  -2.32, -10.67,  -1.28,   0.63,  -1.63,   4.45,  -2.63,  -0.38
198101,   1.78,  -2.34,  -2.13, -10.31,  -8.13,   5.52,   0.24,  -1.68,  -3.09,  -3.43
198102,   1.99,   5.80,   3.74,  -1.12,  -0.19,   0.11,   2.13,   1.27,  -2.24,   1.37
198103,   6.42,   6.61,   5.69,  -2.36,   4.84,   0.98,  12.46,   5.76,   2.09,   7.98
198104,   0.99,   1.78,  -1.15,  -7.70,   0.13,   6.19,   2.90,   2.93,  -3.23,   0.68
198105,   2.17,   2.29,  -0.89,  -4.69,   3.59,   5.24,   2.32,   2.96,   0.78,   2.53
198106,  -0.70,  -4.65,  -1.60,   4.58,  -6.85,  -2.09,  -1.64,  -5.72,   2.57,  -1.79
198107,  -0.80,  -3.02,  -3.09,   7.82,  -3.84,   0.36,  -3.61,  -4.03,   2.23,  -2.87
198108,  -5.61,  -8.49,  -7.49,  -7.10,  -7.92,  -2.77,  -6.09,  -8.34,  -1.79,  -5.95
198109,  -2.66,  -3.39,  -7.40, -12.40,  -4.04,   2.78,  -3.86,  -1.34,  -6.42,  -5.82
198110,   7.14,  -4.26,   3.33,   9.41,   5.12,   6.00,   6.49,   7.79,   4.18,   6.86
198111,   2.10,   4.15,   3.82,   6.32,   0.82,   0.95,   0.62,   3.37,   4.86,   4.65
198112,  -2.20,   0.00,  -1.90,  -6.66,  -0.18,  -1.62,  -2.20,  -0.87,  -3.16,  -4.16
198201,  -1.15,   1.14,  -3.51,  -8.51,   2.67,   0.66,  -0.09,   1.31,  -1.22,  -3.44
198202,  -2.44,  -2.74,  -6.34, -12.22,  -5.95,  -7.44,  -1.89,  -2.36,  -1.42,  -4.28
198203,   1.88,   3.05,  -2.12,  -3.84,  -3.71,   1.87,   3.95,  -2.69,   0.70,  -1.87
198204,   6.50,   4.38,   2.99,   4.28,   7.35,  -0.21,   5.19,   7.30,   3.19,   3.53
198205,  -3.89,  -2.58,  -5.49,   0.95,  -6.10,  -3.01,  -3.23,  -3.67,  -1.71,  -5.96
198206,   1.25,   2.20,  -2.89,  -6.42,  -2.52,  -2.53,   2.42,  -0.89,  -3.01,  -2.91
198207,  -0.62,  -0.36,  -2.58,  -8.10,   1.46,   1.18,  -0.02,   0.65,  -3.24,  -3.26
198208,   8.61,  13.06,  13.08,   8.18,  12.06,   8.75,  12.05,  11.69,  10.69,  10.80
198209,   4.75,  -1.12,  -1.28,   1.68,   1.05,   0.95,   4.56,   1.30,   0.26,   3.71
198210,  10.36,  16.50,  12.71,   5.15,  16.93,   8.08,  16.67,   8.06,   4.05,  15.46
198211,   4.65,   7.45,   5.14,  -5.47,  10.12,   4.19,  10.82,   4.65,  -0.87,   7.25
198212,   0.66,   2.96,   0.53,   5.44,   2.56,  -1.27,  -2.26,   0.51,   3.41,  -1.71
198301,  -1.22,   5.12,   4.79,   3.35,   8.34,  12.40,   1.12,   1.26,   3.07,   2.56
198302,   3.43,   3.20,   3.54,  -1.67,   3.14,  -1.89,   7.56,   2.36,   0.53,   4.27
198303,   7.04,  -1.42,   1.90,   5.78,   0.58,   0.10,   8.35,   4.44,  -0.50,   4.55
198304,   6.07,  10.86,   6.16,   9.33,   7.45,   5.13,   8.45,   5.00,   4.16,   8.16
198305,  -1.36,  -2.47,   1.45,   0.12,   2.38,  -1.41,   0.18,  -3.27,   1.57,   2.10
198306,   2.64,  10.13,   1.41,   6.33,   6.06,  -1.26,   5.97,   6.84,  -1.28,   1.36
198307,  -2.77,  -3.95,  -2.74,  -2.30,  -5.39,  -5.20,  -3.39,  -5.76,   0.44,  -3.80
198308,   0.32,  -2.77,   0.02,   5.63,  -1.45,   2.09,  -5.02,  -1.50,   0.52,  -1.19
198309,   4.27,   4.12,   2.10,  -4.69,   2.08,   0.76,   2.05,   1.23,   3.87,   1.29
198310,  -0.38,  -0.03,  -2.50,  -2.21,  -6.98,  -5.24,  -1.90,  -2.28,   2.47,  -4.24
198311,   1.89,   3.49,   5.91,  -1.55,   1.97,   3.07,   4.16,  -3.51,  -2.56,   4.35
198312,  -0.80,   0.85,  -1.29,   2.03,   0.27,  -3.08,  -4.85,  -3.65,  -4.50,  -1.23
198401,  -0.83,  -5.47,  -3.69,   9.75,  -6.22,   4.06,  -6.02,  -0.76,   0.80,  -1.79
198402,  -6.12,  -6.59,  -7.12,   2.98,  -6.31,  -3.78,  -4.78,  -2.51,  -4.31,  -5.25
198403,   1.22,   0.04,   3.11,   0.19,   1.72,  -5.60,   1.04,  -0.83,  -1.11,   2.06
198404,   0.37,   1.21,  -0.35,   3.83,  -0.48,   2.15,   0.16,   2.20,  -1.01,  -2.23
198405,  -2.77,  -6.42,  -6.34,  -6.01,  -5.97,  -3.62,  -5.52,  -7.04,  -1.94,  -7.23
198406,   5.89,   1.76,   2.96,  -2.33,   1.65,  10.78,   7.22,   3.79,  -0.52,   1.78
198407,  -1.75,   2.40,  -1.69,  -7.77,  -2.47,   2.77,  -0.04,  -3.93,  -0.57,  -1.97
198408,   8.26,   9.38,  11.26,  12.91,  13.51,   6.59,   9.53,   9.83,   6.59,  10.77
198409,   0.93,  -0.49,  -2.70,   2.17,  -4.05,   1.78,  -0.05,  -4.47,   4.09,   1.73
198410,   1.20,   2.03,   0.33,  -4.98,  -0.90,  -1.05,  -0.88,   1.54,   2.59,   0.55
198411,  -0.02,  -3.92,  -1.89,  -1.71,  -3.89,  -0.36,  -3.24,  -0.63,   2.11,  -0.62
198412,   2.17,   4.50,   1.90,  -0.71,   2.45,   4.00,   0.61,   2.59,   1.84,   3.19
198501,   4.70,   9.71,   8.29,   6.08,  12.56,   5.62,  13.04,   8.16,   1.80,   9.68
198502,   4.73,  -2.31,   0.82,   3.10,  -1.70,   2.57,   1.81,   3.07,   0.54,   1.83
198503,   4.30,  -5.33,  -3.00,   1.29,  -6.09,   4.65,  -0.76,   2.99,   5.25,  -0.62
198504,  -2.25,  -3.60,  -1.67,   3.59,  -3.69,   0.50,  -0.04,  -1.87,   1.14,   1.29
198505,   7.65,   5.08,   5.57,  -0.21,   2.42,   6.52,   9.31,   8.96,   4.50,   6.04
198506,   2.43,   1.43,   1.26,  -0.84,  -0.79,   3.52,   1.47,   2.16,   2.91,   2.54
198507,  -2.76,   2.24,   3.26,  -0.90,   4.36,  -5.05,  -4.11,  -0.60,  -5.19,  -0.31
198508,   0.43,  -3.18,  -1.67,   0.57,  -2.91,   0.44,  -0.91,  -1.26,   1.00,  -0.82
198509,  -0.96,  -3.61,  -4.16,  -1.38,  -4.79,  -4.78,  -4.46,  -4.00,  -6.03,  -5.30
198510,   3.47,   0.67,   3.12,   5.45,   2.96,   3.50,   6.72,   3.10,   5.71,   6.20
198511,   8.18,   9.38,   7.44,  -0.49,   8.26,   7.31,   7.69,   9.28,   3.35,   7.15
198512,   5.19,   6.81,   4.29,  -2.82,   8.17,   5.40,   4.42,   3.40,   4.20,   4.13
198601,   1.63,   1.99,   1.48,  -7.08,  -0.32,  -4.33,   1.53,   0.94,   3.32,   3.42
198602,  10.58,  10.17,   9.78,  -0.33,   4.64,   7.32,   7.54,   5.69,   5.73,   8.14
198603,   7.85,   7.79,   5.83,   0.89,  -0.15,   3.26,   8.45,  11.99,   3.38,   5.44
198604,   0.31,  -3.65,  -1.85,   0.45,   3.88,   1.92,   0.30,   0.62,  -4.37,  -2.77
198605,   8.65,   2.71,   4.00,   6.21,   0.65,   4.78,   9.61,   6.93,   2.83,   4.47
198606,   6.06,  -1.56,  -0.21,  -2.11,  -4.04,   4.85,   3.76,   5.53,   4.44,   1.10
198607,  -5.83,  -9.24,  -7.62,  -5.55,  -8.38,  -3.46,  -9.64,  -5.45,   4.71,  -6.60
198608,   2.40,   7.03,   5.99,  15.69,   6.64,   6.76,   1.44,   3.72,   7.22,   6.60
198609, -11.08,  -8.44,  -6.68,  -0.94,  -7.13, -10.05,  -8.51, -12.69,  -9.60,  -9.12
198610,   8.75,   6.29,   5.96,   1.63,   0.54,   4.30,   7.25,   7.94,   4.84,   4.06
198611,   0.52,   4.41,   1.69,   2.30,   3.20,   3.91,   1.55,   1.01,  -0.08,  -0.90
198612,  -3.49,  -2.54,  -2.17,  -0.53,  -3.75,  -4.35,  -6.32,  -1.33,  -3.90,  -2.83
198701,  14.42,  18.56,  14.34,  14.12,  16.49,   4.98,  11.69,  13.05,   8.88,  10.94
198702,   5.45,   3.06,   4.46,  -2.70,   9.14,  -0.04,   9.58,  10.99,  -2.74,   4.46
198703,   0.89,   4.39,   3.32,  11.74,   2.57,   0.73,   1.62,   0.05,  -2.28,  -0.62
198704,  -3.77,   3.89,  -1.71,  -0.01,   4.36,  -2.78,  -2.80,  -2.50,  -4.75,  -4.51
198705,   2.46,  -1.82,   0.00,   2.31,   0.03,   3.26,  -0.28,   0.95,  -2.56,  -0.26
198706,   6.50,   2.63,   5.00,   5.94,  -0.09,   6.36,   6.18,   4.67,   2.77,   4.32
198707,   5.04,   6.83,   7.01,   3.15,   0.98,   5.40,   5.64,   5.71,  -2.12,   3.48
198708,   3.46,   5.37,   2.51,   1.15,   7.20,   5.10,   3.15,   1.93,   2.96,   4.12
198709,  -3.03,  -4.18,   0.18,  -3.92,  -2.74,   2.83,  -6.58,  -2.63,  -2.89,  -2.04
198710, -21.11, -27.10, -27.42, -19.43, -25.94, -12.67, -28.16, -20.49,  -7.36, -23.80
198711,  -8.36,  -8.96,  -5.64, -11.55, -10.17,  -8.95,  -8.74,  -9.64,  -3.23,  -6.89
198712,   7.29,   8.22,  10.70,   6.67,  11.84,   3.32,   8.41,   5.23,  -0.20,   5.03
198801,   2.83,   4.21,   0.14,   8.38,  -2.51,   9.49,   5.48,   6.29,   9.28,   6.17
198802,   5.75,   5.83,   7.26,   2.61,   7.09,   1.18,   9.98,   3.75,  -2.15,   3.30
198803,  -1.82,  -4.49,  -1.50,   2.54,  -4.76,  -4.38,  -1.24,  -2.63,  -3.87,  -1.66
198804,  -0.27,   2.68,   1.50,   4.48,   2.59,   0.10,   1.50,  -2.06,  -0.77,  -0.52
198805,  -0.58,   0.79,  -0.88,  -1.36,  -1.67,   2.28,  -1.70,  -0.64,   2.76,   0.66
198806,   3.09,   7.97,   7.43,  -2.15,   9.35,   2.48,   6.48,   2.51,   2.58,   5.69
198807,   1.57,  -1.18,  -2.81,   3.55,  -5.14,  -0.29,  -1.24,   0.44,  -0.68,  -0.80
198808,  -0.42,  -7.17,  -4.87,  -2.50,  -8.56,  -3.06,  -3.01,  -1.45,  -0.92,  -1.14
198809,   6.21,   3.81,   3.23,  -2.58,   2.80,   6.50,   8.23,   3.72,   2.07,   3.84
198810,   7.95,   2.98,   0.63,   1.79,  -0.09,   2.52,  -0.17,   1.03,   2.11,  -0.20
198811,  -1.94,  -1.48,  -2.61,  -1.31,  -3.50,  -0.11,  -3.02,  -2.53,  -1.34,  -2.42
198812,   3.25,   0.11,   2.89,   1.74,   4.80,   0.65,   1.48,   1.67,   0.41,   0.59
198901,   5.58,   7.15,   7.06,   5.97,   7.06,   8.01,   6.14,   6.63,   2.28,   6.64
198902,  -1.64,  -3.53,  -2.53,  -2.08,  -4.07,  -1.51,  -2.10,  -1.44,  -2.58,  -0.72
198903,   5.23,  -1.45,   0.97,   3.79,  -5.58,   4.81,   2.66,   4.62,  -0.09,   3.22
198904,   5.60,   0.06,   5.30,   2.46,   5.13,   9.18,   5.42,   5.28,   3.47,   4.44
198905,   5.12,   1.71,   3.06,   1.21,   2.06,   5.75,   5.04,   2.98,   4.62,   3.98
198906,   1.21,   1.17,  -2.94,  -1.10,  -3.41,  -0.15,  -2.25,  -2.89,   2.81,   0.51
198907,  11.87,   4.81,   7.45,   3.65,   2.93,   8.66,   8.82,  13.75,   5.43,   7.98
198908,  -2.12,   4.63,   3.97,   2.29,   2.15,   0.68,   2.35,   0.11,  -1.55,   3.01
198909,  -0.86,  -4.61,  -2.93,   1.25,  -2.72,   3.71,  -2.40,   2.29,  -0.04,   1.15
198910,  -2.53,  -6.13,  -4.51,   0.49,  -4.50,  -2.34,  -4.14,   0.31,   0.59,  -5.06
198911,   1.45,  -1.66,   2.65,   3.28,  -2.17,   1.99,   1.02,   4.33,   2.55,  -0.27
198912,   1.12,  -1.63,   2.71,   5.92,  -1.21,   5.47,   1.08,   0.83,   4.26,  -1.89
199001,  -9.55,  -4.36,  -6.46,  -4.43,  -1.33, -13.33,  -6.49,  -7.42,  -5.73,  -9.19
199002,  -0.76,   4.34,   2.01,   2.33,   3.71,  -0.39,   1.65,  -2.35,  -0.44,   2.27
199003,   4.31,   2.76,   3.72,  -0.66,   4.39,   3.91,   5.02,   3.68,  -1.30,  -0.66
199004,  -0.27,  -4.55,  -3.02,  -3.64,  -2.06,  -3.71,  -2.17,   0.11,  -5.85,  -3.66
199005,   8.86,   7.04,   7.56,   5.14,  12.18,   9.07,  11.32,  12.42,   4.60,   8.92
199006,   1.78,  -2.33,  -0.73,  -2.14,  -1.25,  -5.05,   1.45,   4.29,   0.23,  -2.01
199007,  -0.89,  -3.91,   0.03,   8.02,  -7.38,  -4.84,  -4.21,   2.42,   0.45,  -3.80
199008,  -7.57, -14.94, -12.51,  -1.89, -12.34, -10.60, -12.33,  -7.07,  -7.31, -11.61
199009,  -4.39, -10.71,  -8.22,  -1.69,  -6.70,   1.45,  -8.80,  -4.43,  -0.01, -10.32
199010,   2.41,  -3.93,  -1.99,  -4.18,  -3.46,   2.51,  -3.19,   1.18,   6.70,  -6.72
199011,   6.27,   3.20,   6.87,   0.82,  10.85,   1.96,  10.12,   9.26,   1.62,  10.37
199012,   4.08,  -0.65,   4.59,  -2.12,   4.02,   1.04,   3.23,   2.52,   0.19,   5.12
199101,   5.04,   6.66,   6.24,  -2.27,  14.99,  -0.37,   9.17,   4.47,  -1.80,   7.25
199102,  10.10,   9.73,   5.32,   7.76,   6.29,   3.13,   8.12,   9.67,   4.14,   9.50
199103,   4.50,   1.07,   1.24,   1.24,   1.21,   1.77,   8.49,   5.30,   1.24,   2.81
199104,  -1.06,  -2.63,   0.40,   2.27,  -2.92,   0.64,   1.89,  -1.32,  -0.54,   1.14
199105,   3.42,  14.28,   7.08,  -2.15,   3.21,  -1.59,   7.51,   4.49,  -0.51,   4.78
199106,  -5.21,  -4.58,  -4.41,  -3.70,  -8.84,  -1.87,  -4.37,  -4.43,  -2.90,  -5.50
199107,   5.71,  -0.74,   3.00,   4.88,   4.62,   2.62,   5.22,   8.43,   3.57,   4.54
199108,   5.28,  -2.62,   1.41,   0.84,   2.51,   0.50,   3.39,   2.68,   2.82,   2.98
199109,  -3.51,  -2.77,  -2.51,  -0.73,  -1.39,   0.02,  -3.24,  -0.46,   3.19,  -0.87
199110,  -0.61,  -2.34,   1.36,   1.90,   1.96,   1.43,  -2.04,   6.46,   0.88,   2.12
199111,  -0.65,  -8.48,  -5.93,  -8.48,  -4.71,  -4.91,  -1.36,  -2.70,   1.24,  -5.61
199112,  14.47,   7.43,  11.31,   2.05,   9.08,   9.45,  12.94,  16.40,   4.49,  12.47
199201,  -3.18,  10.18,   2.22,  -4.23,   6.68,  -3.25,   0.18,  -5.49,  -4.91,   1.87
199202,   0.91,  11.85,   1.84,  -1.45,   3.57,  -1.60,   2.46,  -2.92,  -1.80,   2.89
199203,  -1.78,   0.71,  -1.37,  -2.82,  -5.24,  -1.20,  -1.46,  -5.74,  -1.13,  -2.38
199204,   0.68,   7.64,   2.94,   9.33,  -1.06,   6.55,  -3.58,  -2.35,   2.30,   0.45
199205,   1.15,  -2.04,  -0.95,   2.25,  -0.28,  -2.61,   0.06,   0.88,   1.94,   1.28
199206,  -3.09,   1.82,  -3.47,  -3.56,  -4.25,   0.95,  -1.97,  -5.02,   0.00,  -0.29
199207,   4.58,   0.04,   2.84,   5.20,   2.94,   4.98,   3.71,   5.76,   6.34,   2.97
199208,   0.72,  -9.98,  -3.89,   1.70,  -4.82,  -1.13,  -0.72,  -3.65,  -0.98,  -3.68
199209,   0.79,  -0.02,   1.60,   0.08,   3.33,   1.57,   4.02,  -5.14,   0.30,   3.21
199210,  -0.88,  -0.26,   0.85,  -3.57,   2.11,  -0.98,   4.30,   3.30,  -0.77,   2.84
199211,   3.39,   8.27,   3.54,  -3.58,   6.06,   3.73,   6.92,   4.60,  -0.77,   5.90
199212,  -0.20,   3.23,   1.21,   1.86,  -0.07,   5.23,   0.58,  -1.49,   2.16,   3.63
199301,  -0.87,   9.37,   0.05,   2.74,   4.85,   1.00,   0.01,  -6.99,   2.13,   3.25
199302,  -2.28,  -0.54,   1.38,   5.04,  -0.49,   5.56,  -1.61,  -9.25,   5.71,   0.19
199303,  -0.30,   5.31,   1.84,   4.05,   2.15,   2.97,   2.69,   0.47,   1.25,   3.58
