,Agric,Food ,Soda ,Beer ,Smoke,Toys ,Fun  ,Books,Hshld,Clths,Hlth ,MedEq,Drugs,Chems,Rubbr,Txtls,BldMt,Cnstr,Steel,FabPr,Mach ,ElcEq,Autos,Aero ,Ships,Guns ,Gold ,Mines,Coal ,Oil  ,Util ,Telcm,PerSv,BusSv,Comps,Chips,LabEq,Paper,Boxes,Trans,Whlsl,Rtail,Meals,Banks,Insur,RlEst,Fin  ,Other
194203,   2.03,  -8.74, -99.99,  -4.77, -13.58,  -8.08,  -5.34,   0.38,  -2.34,  -3.99, -99.99,  -0.26,  -6.02,  -8.68,  -4.55,  -4.37,  -4.54,  -7.73,  -5.04, -99.99,  -6.84,  -7.41,   1.28,  -2.12,  -4.63, -99.99, -99.99, -11.86,  -4.61,  -8.47, -12.99,  -8.68,  -7.12,  -4.82,  -3.88,   1.43, -10.56,  -5.10,  -5.02, -10.36,  -2.00,  -7.89,  -2.67,  -6.50,  -9.72,  -0.95,  -6.87,  -3.86
194204,  -6.54,  -2.63, -99.99,  -8.00,  -5.94,  -7.69,  -5.57,  -8.42,   0.70,  -9.81, -99.99,  -3.54,  -5.04,  -1.94,   3.97,  -6.00,  -4.43,  -4.59,  -7.42, -99.99,  -5.09,  -4.06,  -4.20, -11.55,  -9.03, -99.99, -99.99,  -4.66,  -6.94,  -3.66,  -4.24,  -7.32,  -2.70,  -0.24,  -0.62,  -4.44,  -4.72,  -7.45,  -3.88,  -1.44,  -8.13,  -6.31,  -3.76,   0.51,  -5.96,  -2.44,  -1.83,  -1.63
194205,   4.60,   7.40, -99.99,   9.12,  12.21,   8.93,   9.27,   1.92,   0.52,   2.15, -99.99,   2.04,  14.35,   4.18,  -1.53,   5.09,   5.67,   6.44,  -4.32, -99.99,   3.18,   8.09,   9.06,  -5.62,  -3.30, -99.99, -99.99,   3.88,  -0.94,   5.44,   7.58,   7.69,   5.80,   4.48,   4.56,   5.22,   8.56,   0.37,   4.51,   0.22,   4.20,  11.35,   0.00,  11.98,  11.17,   3.14,   1.78,   2.71
194206,  -1.19,   4.08, -99.99,   2.73,   1.91,   8.74,   2.08,   5.52,   3.66,   1.52, -99.99,   1.53,   2.66,   4.41,   0.78,   1.10,   1.66,   2.89,   2.92, -99.99,   2.96,   1.84,   1.38,   0.99,  -3.12, -99.99, -99.99,   3.20,   0.44,   4.23,   0.80,  -4.17,  -5.20,   4.38,   7.47,  -1.55,   7.26,   3.92,   2.21,  -0.20,   1.31,   1.88,   0.13,  -0.74,  -0.94,  -0.57,   1.73,   2.56
194207,   5.00,   1.28, -99.99,   6.31,   1.50,   2.51,   9.26,   4.48,   3.78,   3.68, -99.99,   5.51,   0.98,   0.88,  10.77,   5.37,   3.23,   4.52,   3.73, -99.99,   3.02,   1.31,   2.22,   4.23,   6.42, -99.99, -99.99,   4.26,   6.82,   5.77,  -1.12,   4.48,  -0.14,   3.25,   3.55,   7.75,   1.35,   5.29,  -1.06,   6.88,  10.34,   4.59,  11.18,   5.39,   6.06,   0.38,   3.45,   1.03
194208,  -0.51,   1.51, -99.99,   6.16,  -3.17,   1.96,  -0.13,   1.27,   0.87,   1.10, -99.99,  14.35,   1.30,   0.56,   0.00,   1.98,  -0.36,  -4.98,  -0.24, -99.99,  -0.80,   1.43,   1.52,   5.19,   2.37, -99.99, -99.99,  -1.33,   0.22,   2.94,   0.12,   2.46,  -1.16,   4.89,   1.58,   3.34,  -4.39,  -3.62,   1.10,   3.24,   2.81,   0.81,   2.41,   2.78,  -0.21,  -4.47,   1.16,  -1.71
194209,  -2.64,   0.27, -99.99,   4.90,  -3.72,  -3.37,   3.21,   4.30,   1.69,   0.41, -99.99,  -1.20,   0.11,   4.24,   7.64,   2.97,   2.78,  12.57,   1.10, -99.99,   2.88,   4.36,   2.65,   4.51,   2.46, -99.99, -99.99,   0.41,   3.79,   2.14,   4.84,   0.20,   5.73,  -2.04,  -0.20,   6.72,   7.09,   2.19,   0.50,   3.63,  -0.39,   0.06,   0.72,  -0.39,   2.40,   9.71,   1.17,   5.13
194210,   3.71,   4.05, -99.99,  -1.44,   4.97,   7.46,   6.77,  27.54,   6.09,   2.12, -99.99,   8.74,   3.47,   6.52,   2.90,   5.49,   5.93,  19.42,   6.74, -99.99,   7.11,   7.08,   6.03,   6.45,   7.19, -99.99, -99.99,   9.71,   5.79,   9.57,  14.45,   6.19,   7.64,   4.15,   5.84,  10.69,   2.52,   7.16,   4.43,   8.31,   3.98,   0.32,   4.52,   2.62,   5.39, -10.95,  22.18,   0.33
194211,  12.13,   3.51, -99.99,  -0.32,  -2.23,  -5.56,  -1.82,   0.06,  -0.92,  -1.86, -99.99,   1.01,   1.02,   0.23,  -1.57,   1.96,   1.95,  -8.66,  -8.70, -99.99,  -2.23,   0.73,  -1.46, -15.45,  -9.97, -99.99, -99.99,  -3.66,  -7.58,  -0.39,  -1.97,   2.57,   9.25,   0.39,   3.60,   1.85,   4.73,  -0.03,   0.18,  -5.62,   1.45,   5.51,   1.50,  11.72,  -0.56,   4.45,  -8.28,   5.19
194212,   6.30,   2.61, -99.99,   4.31,   5.74,   0.98,   4.73,   5.51,  -1.17,   6.07, -99.99,   3.35,   8.63,   5.51,   5.73,   4.85,   5.31,   5.79,   2.70, -99.99,   7.41,   5.35,   8.70,   0.87,   3.68, -99.99, -99.99,   3.96,   0.44,   7.17,   3.51,  -1.32,  -1.28,  -2.82,   4.15,   6.41,   3.82,  21.78,   2.25,   1.97,   9.36,   1.77,  -3.72,  -0.64,   4.97,  -9.34,   8.37,   1.33
194301,   2.10,   8.42, -99.99,   6.53,  11.84,  12.62,   1.86,  20.37,   5.81,   6.54, -99.99,  14.68,   1.52,   4.53,  10.84,   8.91,   6.01,  23.05,   9.40, -99.99,   5.47,  11.92,   5.05,  10.33,  12.39, -99.99, -99.99,   8.50,  10.55,   6.29,  14.13,   3.78,   9.57,  11.69,   6.79,   4.22,   4.35,   3.82,  11.63,   6.90,   3.72,   6.70,  15.13,   2.84,  -0.69,  23.73,  15.38,   8.79
194302,   0.97,   3.95, -99.99,   5.06,  -0.40,  10.34,  11.27,  22.11,   8.70,   7.41, -99.99,  -2.20,   3.43,   1.93,   6.52,   6.84,   6.81,  22.90,   4.76, -99.99,   7.33,   4.41,   6.87,   8.34,   9.45, -99.99, -99.99,   3.98,  11.17,   7.38,   7.30,   8.79,   5.28,  14.74,   4.66,   2.54,  -3.21,   3.31,   3.65,  10.39,  11.12,   2.12,   4.17,   5.71,   4.62,  58.77,  13.39,  -0.45
194303,  -2.14,   4.19, -99.99,   9.54,   2.59,  10.94,  24.21,  10.85,   2.47,   3.82, -99.99,  12.87,   3.88,   2.24,   3.06,   9.35,   6.62,   8.11,   7.86, -99.99,   6.53,   6.83,   5.73,   9.09,  10.76, -99.99, -99.99,   8.24,  14.35,   6.78,   4.04,  -0.90,  30.70,  12.57,   5.49,  13.53,   6.62,   8.48,   4.31,   8.51,  10.82,   8.05,   8.06,   9.52,   5.31,  -9.57,  10.62,   6.57
194304,  -7.96,   0.82, -99.99,   8.59,   0.74,  -4.23,   1.65,  19.98,   0.39,  -2.20, -99.99,   9.18,   0.62,  -0.89,   9.41,   0.99,  -1.68,   5.50,  -4.06, -99.99,  -0.84,   1.32,   0.87,   0.80,  -3.12, -99.99, -99.99,  -1.53,  12.51,   0.78,   3.56,   4.16,   1.57,   0.88,  -0.63,   7.90,   0.78,  -4.02,  -1.00,   3.28,   7.50,   1.32,   8.42,  -3.44,   4.44,  -0.84,   5.16,   0.18
194305,  16.10,   6.07, -99.99,   2.81,   5.66,   6.25,  11.91,  25.01,   4.58,   4.28, -99.99,   8.41,   4.47,   6.52,   5.43,   1.47,   6.89,   5.11,   2.28, -99.99,   2.80,   5.91,   5.42,  -0.08,  14.44, -99.99, -99.99,   0.81,   3.80,   4.88,   3.99,   4.55,  15.55,   8.22,   8.69,   3.20,   4.62,  14.52,   5.27,   4.34,   3.43,   7.16,   3.84,  15.31,  -0.97,  33.45,   6.72,   6.78
194306,   5.89,   0.70, -99.99,   3.81,   1.78,  -0.35,  -0.82,  -5.47,  -0.28,   3.77, -99.99,  -0.06,   0.32,  -0.26,   0.00,   5.97,   3.95,  -0.58,  -1.30, -99.99,   4.37,   2.72,   4.96,  -3.80,  -2.24, -99.99, -99.99,  -4.33,  -7.37,   1.13,   3.70,   0.84,   8.35,   1.94,   2.07,   0.68,  -2.36,   1.23,   3.15,  -1.46,  15.52,   4.94,   1.67,  -0.40,   1.69,  -0.74,  -3.74,   1.01
194307,  -8.89,   0.10, -99.99,  -7.28,  -4.28,  -2.08,  -6.70,  -9.41,  -3.89,   0.27, -99.99,  -9.25,  -3.28,  -6.62, -99.99,  -8.32,  -8.36, -12.95,  -5.32, -99.99,  -7.98,  -8.75,  -9.59, -12.30, -12.93, -99.99, -99.99,  -2.60, -10.17,  -2.93,  -0.87,  -0.18,  10.96,  -5.44,  -5.02, -11.34,  -2.26,  -6.09,  -5.75,  -6.16,  -9.59,  -3.20,   3.39,  -2.40,  -3.97, -12.35,  -6.93,  -7.98
194308,   3.31,   0.16, -99.99,   2.03,   0.40,  -0.71,   1.63,  11.07,   0.94,  -0.96, -99.99,  -2.14,  -0.08,   0.31, -99.99,   3.10,   0.13,  -1.52,  -0.97, -99.99,   1.11,   0.55,   2.90,  -1.06,   0.21, -99.99, -99.99,   0.74,   2.47,   0.56,   1.53,   0.90,  15.61,  -2.13,   1.93,   1.49,  -2.78,   0.44,  -1.90,   1.14,   2.36,   3.21,  -0.83,   0.51,   4.42,  -1.10,  -0.51,   4.76
194309,   3.34,   1.32, -99.99,   0.93,   2.09,   1.43,   2.26,   3.03,   5.16,   0.82, -99.99,   5.79,   3.70,   1.97, -99.99,   4.75,   5.00,   3.18,   1.22, -99.99,   1.68,   5.12,   1.54,  -0.08,   0.97, -99.99, -99.99,   0.32,   3.52,   1.25,   3.11,   0.03,  -4.91,   4.47,   2.92,   5.88,   3.33,  -1.50,   5.27,   2.05,   3.84,   1.70,  -0.49,   1.15,   1.03,  -3.72,   0.80,   2.82
194310,  -1.12,  -0.48, -99.99,  12.89,  -2.54,  -5.99,  -2.86,  -1.17,  -1.78,  -2.09, -99.99,   1.55,   0.07,  -2.24, -99.99,  -0.49,  -2.35,   3.43,   1.03, -99.99,  -1.25,  -4.05,  -1.33,  -0.89,   3.81, -99.99, -99.99,  -3.47,   0.31,  -2.14,   0.34,   0.73,  -2.55,  -0.57,  -2.62,  -0.07,  -1.92,  -1.53,   0.03,  -0.47,   2.05,  -2.68,   0.78,  -2.09,  -1.05,   6.82,  -0.27,  -0.36
194311,  -3.78,  -5.04, -99.99,  -2.60,  -6.99, -10.86, -10.47, -15.75,  -2.86,  -2.00, -99.99,  -3.59,  -4.44,  -5.46, -99.99,  -5.62,  -6.21, -18.11,  -8.95, -99.99,  -8.21,  -7.14,  -6.61, -14.98, -10.15, -99.99, -99.99,  -5.26, -12.11,  -8.02,  -8.69,  -1.80,  -4.72,  -6.09,  -5.84,  -9.15,  -5.25,  -7.66,  -7.43, -10.91,  -8.94,  -5.39,  -5.19,  -3.31, -11.81,  -9.26,  -9.49,  -6.05
194312,   7.40,   4.74, -99.99,  12.48,   5.80,  14.29,   9.42,  15.99,   4.46,   2.51, -99.99,  10.48,   3.18,   2.77, -99.99,   7.35,   6.20,   6.90,   3.47, -99.99,  10.94,   7.07,   8.26,   4.82,  12.60, -99.99, -99.99,   1.76,   9.19,   6.71,   6.84,   1.72,   7.62,   6.80,   6.46,  14.12,   7.11,   6.24,   6.35,   6.37,  11.13,   6.15,   2.13,   4.62,   9.76,  19.26,   6.94,   4.99
194401,   4.90,   2.87, -99.99,   0.35,   6.28,   8.82,   1.63,   0.56,   1.57,   2.44, -99.99,   0.25,  -0.06,   0.32, -99.99,   3.41,   2.37,   8.35,   3.11, -99.99,   2.04,   0.84,   0.82,   3.71,   5.45, -99.99, -99.99,   3.49,   5.90,   0.50,  -0.74,   0.86,  13.88,   4.69,   1.06,  -0.62,  -0.62,   0.89,   2.47,   5.91,  -0.58,   0.62,   1.56,   2.85,  -4.92,   3.07,   1.56,   1.96
194402,  -0.90,  -0.54, -99.99,  -5.74,  -1.83,   1.35,  -1.04,  -2.61,  -2.70,   2.22, -99.99,  -3.49,  -3.09,  -1.19, -99.99,   0.34,  -2.17,  -2.37,  -1.08, -99.99,  -0.82,  -3.22,   2.55,   3.07,  -0.15, -99.99, -99.99,  -1.66,   4.49,  -0.42,   1.18,   0.86,   8.12,   1.14,  -2.26,   0.26,   1.01,  -1.15,  -0.60,   3.66,   1.62,   0.38,   1.72,  -1.19,  -0.35, -11.08,   2.31,  -0.37
194403,  -1.65,   1.93, -99.99,  13.01,   2.01,  -2.00,   5.78,   7.16,   1.10,   0.55, -99.99,   2.17,   2.24,   2.08, -99.99,   5.00,   3.45,   1.81,   0.94, -99.99,   1.05,   2.66,   5.09,  -1.04,   0.67, -99.99, -99.99,  -0.43,   5.95,   1.68,   1.20,  -0.63,  -4.15,   0.83,   5.34,   8.20,   2.54,   3.00,   3.78,   1.93,   3.30,   1.76,   6.76,   3.45,   3.49,  11.26,   1.82,   0.47
194404,  -0.89,  -2.89, -99.99,  -4.29,  -0.96,  -3.74,  -3.99,  -5.67,  -2.73,  -1.86, -99.99,  -2.74,  -2.69,  -1.80, -99.99,   0.30,  -0.86,  -6.04,  -2.26, -99.99,  -2.85,  -1.25,  -1.25,  -4.80,  -3.40, -99.99, -99.99,  -2.83,  -4.61,  -1.42,  -1.30,  -0.57,  -3.50,  -1.20,  -1.21,  -3.77,  -5.55,   5.84,  -1.93,  -2.01,  -5.18,  -1.12,  -3.06,  -4.82,  -1.12,  -2.56,  -2.37,  -2.91
194405,   7.65,   4.67, -99.99,   4.21,   4.63,   9.89,   6.24,  13.57,   6.42,   3.55, -99.99,   5.07,   5.19,   3.71, -99.99,   5.74,   6.22,   6.10,   3.51, -99.99,   6.74,   2.97,   7.11,   1.06,   8.30, -99.99, -99.99,   1.38,   8.62,   3.89,   1.65,   2.81,   6.06,   6.08,   2.70,   9.32,   4.60,   9.54,   8.44,   3.85,   8.48,   4.56,   3.32,   4.26,   1.97,   5.04,   4.02,   9.67
194406,   3.87,   4.32, -99.99,  -5.03,   8.05,  14.47,   8.30,  26.11,   5.11,   5.39, -99.99,   2.77,   3.73,   5.27, -99.99,   9.77,   9.07,  26.48,   8.95, -99.99,   6.61,   7.72,   8.67,   6.86,   6.48, -99.99, -99.99,   9.66,   2.52,   0.36,   4.36,   1.87,  10.63,   9.85,   6.68,   4.65,   3.19,   4.70,   4.45,   2.49,   1.91,   5.45,  10.72,   6.80,  -1.32,  11.90,  12.04,   8.32
194407,  -2.09,  -0.06, -99.99,  -0.69,  -0.82,  -7.87,  -4.25,  -3.46,  -1.53,  -0.98, -99.99,   1.17,  -1.71,  -2.34,  -4.65,  -3.45,  -2.87,  -7.16,  -2.10, -99.99,  -1.79,  -1.77,  -4.81,  -2.08,   0.05, -99.99, -99.99,  -2.40,   6.47,  -1.48,  -0.14,  -0.37,   7.51,   1.04,  -1.34,  -3.62,  -2.50,  -5.05,  -0.47,   0.04,   1.05,  -0.25,  -1.25,   0.94,   1.11,  -7.45,  -5.81,  -3.84
194408,   3.51,   1.71, -99.99,   0.10,   2.09,   8.54,  -1.17,  16.09,   1.80,   2.15, -99.99,  -3.67,   0.49,   0.06,   3.66,   5.02,   3.26,   8.13,   0.73, -99.99,   2.86,   1.53,   2.81,   4.99,   4.13, -99.99, -99.99,  -1.86,  -3.13,  -2.53,   3.02,   0.65,  -0.64,   3.45,   3.61,   2.63,   0.60,   4.53,   2.23,   0.06,   1.15,   2.65,   1.81,   1.83,   0.97,  15.61,   1.79,   4.57
194409,   2.85,   0.58, -99.99,   2.18,  -4.81,  -3.93,   0.52,  -1.90,   1.18,   0.72, -99.99,   2.33,   0.15,  -0.13,  -2.16,  -0.59,  -1.58,  -0.39,   0.79, -99.99,  -0.75,  -1.27,   0.36,   9.45,   1.13, -99.99, -99.99,  -0.30,  -3.84,  -1.47,  -1.81,  -1.05,  -3.92,  -1.29,  -0.85,  -0.33,  -1.35,  -3.08,  -1.27,  -0.51,   8.00,   1.21,   2.80,  -0.53,   1.11,  -4.88,  -1.45,  -0.93
194410,  -1.81,  -0.07, -99.99,  -0.16,  -0.65,  -4.09,  -0.91,  -4.33,  -1.22,  -0.05, -99.99,  -2.12,   0.86,   0.41,   3.41,   0.53,  -1.55,  -0.18,  -0.31, -99.99,  -1.68,   0.87,  -2.55,   1.27,  -1.81, -99.99, -99.99,  -0.86,   0.00,   1.78,   0.79,   0.75,   4.75,  -0.26,  -1.57,   3.06,   2.74,  -6.24,  -0.72,   1.34,   2.01,   0.29,  -0.91,  -2.48,   5.41,   1.97,  -1.49,  -2.89
194411,  -2.80,   0.88, -99.99,   6.88,  -0.93,  10.98,   6.94,   5.11,  -0.44,  -1.09, -99.99,   3.71,  -0.36,  -1.18,   0.78,   3.18,   0.64,  -2.94,  -0.38, -99.99,   1.07,   1.30,   1.24,   0.60,   2.54, -99.99, -99.99,   3.98,   1.12,   0.98,  -0.84,   0.65,   3.43,   1.07,   1.00,   2.86,   0.74,   1.48,   0.95,   3.13,   0.96,   1.94,   2.47,  -1.03,  -0.25,  -4.56,   3.16,   0.07
194412,   4.92,   1.87, -99.99,   3.00,   0.23,  11.54,   6.40,  -1.09,   3.46,   0.36, -99.99,   4.57,   1.37,   1.53,   6.54,   3.32,   3.31,  12.20,   6.24, -99.99,   4.09,   4.23,   4.04,   2.90,   5.70, -99.99, -99.99,   2.29,  12.73,   4.79,   2.65,  -0.60,  -0.45,   2.94,   2.26,   1.55,   4.55,   4.12,   1.72,  10.71,   4.09,   1.43,   5.49,  -1.07,  -4.48,  31.35,   6.67,   7.14
194501,   2.52,   2.35, -99.99,   1.61,   2.18,  -2.46,  -3.30,   8.58,   1.23,   0.15, -99.99,   8.83,  -0.23,   2.51,   5.42,   3.35,   4.79,   5.64,   2.72, -99.99,   3.44,   0.79,   1.42,   0.38,   0.69, -99.99, -99.99,   7.61,   0.50,   4.89,   5.29,  -2.11,   8.94,   8.66,   1.55,   4.31,  -1.69,   3.05,   2.95,  -1.45,  -0.06,  -0.16,   5.65,   5.50,   2.69,  11.59,   0.94,   0.61
194502,   1.66,   2.15, -99.99,   9.03,   5.91,  11.11,   6.04,   5.04,   4.38,   5.02, -99.99,   1.33,   3.94,   5.16,   0.00,   4.00,   7.28,  15.40,   8.10, -99.99,   5.12,   7.63,   6.93,   9.10,   7.92, -99.99, -99.99,   5.50,   2.47,   6.96,   5.79,   2.83,  -0.40,   7.52,   4.72,   2.83,   2.57,   5.74,   5.87,   8.25,   5.10,   3.97,   4.74,   2.83,   8.25,   1.44,  11.79,   2.73
194503,  -0.63,  -3.31, -99.99,  -1.60,  -3.83,  -2.73,  -4.26,  -9.96,  -4.65,  -3.90, -99.99,  -2.89,  -1.96,  -3.83,  -1.37,  -4.39,  -5.19, -13.89,  -5.81, -99.99,  -5.59,  -4.59,  -6.35,  -7.78,  -4.76, -99.99, -99.99,  -5.39,  -6.20,  -5.44,  -3.65,  -1.43,  -3.74,  -9.52,  -4.67,  -7.28,  -2.23,  -6.83,  -4.72,  -3.31,  -5.70,  -1.44,  -6.25,  -0.92,  -3.83,  -7.73,  -7.67,  -5.96
194504,   7.68,   5.37, -99.99,  14.84,   7.50,   8.88,   3.69,  21.65,   3.11,   5.26, -99.99,   5.03,   6.10,   8.18,   8.33,   8.51,   7.76,  11.91,   9.44, -99.99,  10.67,   9.04,  10.97,   5.01,   7.21, -99.99, -99.99,   6.14,   6.26,   6.81,   9.66,   2.51,  -4.09,   9.07,   6.00,  11.57,   4.27,   6.85,   7.80,  10.61,   5.41,   7.05,   5.48,   5.51,   6.87,   1.98,   6.24,  11.16
194505,   1.72,   1.89, -99.99,  -0.86,   1.95,  -5.58,   7.36,   0.31,   6.92,   4.38, -99.99,   0.93,   3.83,  -0.78,  -2.24,   3.93,   1.89,  -1.35,  -1.42, -99.99,   0.48,   1.49,  -0.25,   1.29,  -1.57, -99.99, -99.99,   1.44,   7.04,  -1.77,   1.36,   3.74,  -3.77,   9.41,   5.31,  -2.20,  -1.23,   3.01,   5.00,   2.20,   4.47,   5.92,   8.25,  -0.53,   1.53,   2.57,   2.00,  -0.49
194506,  -0.89,  -0.37, -99.99,   6.44,   0.16,  -2.73,  -1.59,  14.43,  -2.68,  -0.20, -99.99,  -1.43,  -5.03,  -2.65,  -6.23,   4.26,  -1.95,  12.05,   1.88, -99.99,  -1.08,  -2.87,  -1.44,  13.19,   0.74, -99.99, -99.99,   1.68,   4.26,  -0.74,   4.89,   1.36,   2.72,   0.45,  -1.81,  -1.04,  -1.18,   1.67,  -3.13,   5.59,   6.47,  -3.81,  -5.41,   1.11,  -6.65,   1.14,   9.04,  -2.53
194507,   3.34,  -1.68, -99.99,  -8.61,  -0.48,  -5.95,  -4.29,  -1.69,  -2.77,  -0.78, -99.99,  -1.53,  -1.92,  -2.56,   0.70,  -4.72,  -2.84,  -3.94,  -2.42, -99.99,  -3.55,  -1.26,  -1.40,  -7.61,  -3.22, -99.99, -99.99,  -4.32,  -1.78,  -3.43,  -0.65,   2.18,   0.18,  -2.26,  -1.69,  -2.49,  -4.30,  -6.87,  -1.88,  -6.72,  -1.58,  -0.13,  -0.54,  -4.04,   1.53,   0.37,  -5.80,  -5.16
194508,   4.30,   6.12, -99.99,   4.74,  10.23,  12.95,   8.25,  14.67,   6.98,   5.18, -99.99,   1.75,   9.53,   9.06,   0.69,  13.06,  11.61,   7.42,   5.62, -99.99,   8.24,  10.75,   9.00,   3.12,  10.03, -99.99, -99.99,   1.68,  -4.32,   1.78,   0.59,   1.72,   3.84,   6.95,   6.22,   7.46,   7.00,   9.16,   9.23,  -0.37,   7.38,   7.88,   1.92,  17.84,   2.60,   1.18,   3.16,  14.54
194509,   0.11,   7.63, -99.99,  14.80,   1.13,   7.82,   8.62,  12.54,   1.50,   2.95, -99.99,   9.32,   6.05,   6.34,   6.55,   8.38,   7.09,  14.31,   7.89, -99.99,   4.07,   1.68,   2.55,   3.93,   3.24, -99.99, -99.99,   5.29,  10.09,   1.73,   6.30,   0.70,  13.00,   9.30,   3.13,   9.81,   8.31,  10.96,   4.45,   6.64,   2.37,   5.30,  17.31,  -3.57,   2.58,  28.68,   5.35,   7.49
194510,   4.78,   6.38, -99.99,  38.38,   0.07,  10.90,  12.16,  14.83,   4.90,   6.53, -99.99,   4.13,   6.57,  -0.37,   0.32,   1.33,   0.08,   4.64,   4.77, -99.99,   2.53,  -2.01,   0.57,   5.46,   1.95, -99.99, -99.99,   6.83,   9.10,   6.20,   5.67,   2.36,   3.89,   4.18,   4.89,   3.70,  10.77,   0.99,   3.17,   4.15,   3.55,   6.06,   2.66,  -2.02,   5.30,   7.36,  17.74,  -0.58
194511,  -0.62,   2.89, -99.99,   3.95,   2.38,   6.34,  16.93,  -3.21,   3.49,   3.91, -99.99,  12.78,   7.49,   2.74,   4.52,  12.14,   3.65,  23.83,   5.55, -99.99,   5.85,   2.20,   1.71,   4.87,   2.94, -99.99, -99.99,  11.68,   2.66,   7.18,   4.31,   3.35,  17.03,  12.15,   6.04,   0.93,   0.24,   8.34,   3.82,   7.18,   8.52,   6.01,  11.73,   1.57,   0.41,  15.00,   8.20,  -1.38
194512,  -0.85,  -0.22, -99.99,  19.48,  -2.15,  -4.55,   5.66,  -0.12,   3.14,   0.05, -99.99,   4.93,   0.99,   1.94,   1.85,   3.40,   1.00,  -5.93,   0.28, -99.99,   0.46,   2.05,   2.04,   4.16,   3.12, -99.99, -99.99,  -4.07,   3.11,  -0.47,  -1.19,  -0.64,   3.53,  -1.83,   0.63,  -0.50,   3.40,  -0.01,   0.54,  -1.53,   2.20,   2.98,  12.49,   2.84,   0.26,  12.07,   5.60,   1.90
194601,   2.83,   5.28, -99.99,   0.07,   0.33,   9.95,  14.25,  11.00,   4.13,  14.49, -99.99,   9.72,   7.31,   5.43,   9.70,   8.76,   8.21,  15.06,  13.47, -99.99,   5.57,   6.27,   7.09,   8.64,   8.64, -99.99, -99.99,   7.36,   9.77,  -0.24,  10.56,   1.91,  -1.76,   2.96,   4.01,   3.84,  10.33,   9.79,   1.95,   5.96,  14.80,  10.83,   0.82,   3.53,   8.93,  27.51,   8.80,   3.54
194602,  -3.09,  -4.21, -99.99,  -6.66,  -5.69, -10.01,  -0.08,  -5.83,  -8.53,  -8.62, -99.99,  -5.76,  -4.53,  -4.85,  -3.87,  -6.58,  -2.92, -12.36,  -8.20, -99.99,  -8.35,  -7.93,  -9.62,  -6.88,  -8.29, -99.99, -99.99,  -4.74,  -1.41,  -5.10,  -6.00,  -2.84,  -1.15,  -7.26,  -2.95,  -4.72, -10.73,  -5.52,  -6.38,  -7.34,  -6.81,  -4.52,  -1.07,  -4.08,  -7.73,  -9.79, -10.15,  -5.58
194603,  13.51,   4.15, -99.99,   8.88,   8.39,   5.34,  11.82,   2.36,   6.94,   6.26, -99.99,   4.11,  15.64,   7.03,   6.61,   7.64,   5.64,   3.34,   3.26, -99.99,   4.69,  -1.12,   1.89,  -0.24,   2.52, -99.99, -99.99,  -0.80,  -2.06,  11.05,   5.87,   0.04,   0.77,   8.89,   4.81,  12.27,   9.74,   8.61,   8.43,   3.15,   5.91,  11.65,   4.10,   5.56,   3.48,   3.16,   5.85,   7.69
194604,  13.69,   1.50, -99.99,  -0.41,   3.63,  16.51,   8.89,  14.91,   6.10,   4.57, -99.99,  10.91,  14.89,   5.59,  -0.81,   8.66,   4.60,   8.15,   3.90, -99.99,   3.70,  -1.06,   1.37,  -6.86,   3.50, -99.99, -99.99,   4.26,   5.68,   8.72,   4.01,   1.59,  21.66,  14.50,   8.47,   4.56,   5.72,  12.76,   6.41,  -0.42,   4.30,   6.91,  13.62,   2.35,  -4.04,  -0.25,   1.44,   3.61
194605,   3.25,   1.31, -99.99,   7.71,   2.86,  -3.42,  -4.62,  -4.27,   0.72,   8.38, -99.99,   9.13,   4.83,   3.95,   3.26,   8.82,   5.18,  -2.78,   6.02, -99.99,   6.64,   5.72,   3.83,   4.23,   3.67, -99.99, -99.99,   2.53,   4.53,   2.92,   2.62,   2.81,   9.00,   7.08,   7.10,   4.13,  -0.28,   5.40,   3.81,   4.52,   6.51,   1.34,  -1.52,   3.07,  -0.89,   7.74,   6.10,   5.53
194606,   5.67,  -4.44, -99.99,   2.41,  -4.88, -10.59,  -5.11, -13.25,  -4.28,  -7.60, -99.99,  -7.14,  -5.48,  -3.29,  -6.32,  -5.11,  -4.82,  -7.57,  -2.51, -99.99,  -5.08,  -5.59,  -6.01,  -6.80,  -5.04, -99.99, -99.99,  -5.67,  -5.77,  -3.26,  -2.99,  -0.79,  -5.54,  -4.95,  -3.10,  -7.72,  -8.82,  -5.30,  -3.37,  -2.92,  -1.59,  -8.29,  -6.36,  -0.37,  -2.65,  -6.96,  -5.68,  -7.27
194607,  -3.59,  -0.72, -99.99,   2.62,  -1.01,  -6.37,  -1.30,  -5.91,  -2.05,  -2.01, -99.99,  -5.16,  -3.24,  -2.54,  -7.02,  -4.22,  -5.83,  -1.72,  -2.64, -99.99,  -5.55,  -3.83,  -4.34,  -2.42,  -5.96, -99.99, -99.99,  -5.63,   0.05,  -0.22,  -3.83,  -0.08,   0.62,  -5.02,  -1.63,  -6.46,  -2.90,  -3.00,  -2.17,  -6.03,  -3.48,  -3.23,  -1.59,  -3.77,   0.00,  -7.80,  -7.09,  -4.14
