,Food ,Beer ,Smoke,Games,Books,Hshld,Clths,Hlth ,Chems,Txtls,Cnstr,Steel,FabPr,ElcEq,Autos,Carry,Mines,Coal ,Oil  ,Util ,Telcm,Servs,BusEq,Paper,Trans,Whlsl,Rtail,Meals,Fin  ,Other
194704,  -5.47, -12.80,  -8.62,  -7.68, -11.79,  -4.88,  -6.54,  -8.83,  -3.98,  -8.95,  -5.97,  -6.61,  -7.79,  -5.04,  -4.59,  -8.42,  -4.65,  -6.03,  -0.52,  -4.22,  -0.22,  -7.00,  -5.65,  -5.37,  -6.38,  -5.95,  -8.39,  -9.45,  -6.54,  -7.03
194705,  -1.08,  -4.03,   3.03,   1.60,  -6.47,  -2.15,  -4.94,  -3.19,  -0.90,  -3.77,  -4.02,  -3.72,  -2.01,   0.18,  -3.77,  -5.64,  -2.44,  -5.97,   1.41,  -3.00,  -1.12,  -3.82,  -1.58,  -1.82,  -4.04,  -4.25,  -0.55,  -5.72,  -1.18,  -5.70
194706,   5.34,   8.38,   5.43,   0.19,   7.27,   1.39,   8.58,   3.87,   7.55,   8.55,   5.61,   2.01,   8.40,   3.89,   5.89,   2.54,   0.67,  10.57,   7.54,   3.74,  -4.46,   1.35,   2.19,   6.15,   2.16,   7.05,   9.66,   7.71,   5.82,   3.06
194707,   4.76,   0.75,   3.13,   5.35,   3.76,   8.49,   2.73,   2.34,   1.47,   8.41,   3.00,   7.18,   3.34,   6.80,   4.65,   3.28,   5.34,  16.45,   3.49,   2.01,   0.81,   8.20,   5.38,   3.18,   7.25,   3.65,   4.36,   6.39,   2.37,   5.45
194708,  -1.73,  -4.12,  -3.11, -10.52,  -0.51,  -0.41,   0.25,  -4.30,  -1.12,  -1.43,  -2.97,  -1.80,  -2.73,  -3.88,  -2.13,   0.35,  -3.09,  -0.01,  -2.86,  -0.14,   0.34,  -1.30,  -5.25,  -0.75,  -2.85,  -1.79,  -4.21,  -7.52,  -1.45,  -1.22
194709,  -1.08,  11.76,  -0.84,  -3.01,  -2.82,   1.71,  -2.89,  -2.91,  -1.40,   1.54,   0.06,   0.09,   2.17,   0.48,   0.31,   1.24,  -2.26,  10.83,  -3.11,  -1.70,  -0.49,  -1.42,   0.30,   1.85,  -1.65,  -0.32,  -3.46,   0.52,   0.25,   1.25
194710,   2.34,  -5.86,  -1.91,  -1.15,   3.55,   4.75,   2.74,   0.96,   1.11,   2.91,   3.60,   5.56,   4.04,   1.55,   2.57,   0.83,   0.30,   2.13,   5.17,  -0.38,   0.21,   2.13,   1.82,   2.60,   0.29,   0.82,   3.02,  -0.25,   3.00,   6.46
194711,  -3.28,  -2.45,  -0.10,  -3.62,  -5.98,  -3.23,  -1.34,  -3.66,  -1.28,  -2.16,  -3.21,  -2.00,  -1.65,  -2.22,  -3.86,  -3.19,   0.68,   3.58,  -2.00,  -8.10,  -2.60,  -4.15,   0.95,  -4.94,  -4.05,  -2.81,  -3.53,  -2.24,  -1.93,  -2.17
194712,  -0.72,  -1.11,   0.51,  -7.54,  -2.49,  -0.27,   2.22,   2.67,   1.09,   4.14,   1.71,   3.01,   2.30,   2.21,   2.07,   0.37,  -5.89,   3.43,   8.94,   0.76,  -0.95,  -3.48,   0.32,   2.52,   7.71,  -0.08,  -0.46,   4.45,  -0.01,  -1.29
194801,  -3.39,  -4.54,  -1.96,  -5.51,  -3.85,  -4.28,  -1.56,  -8.56,  -4.48,  -3.08,  -5.94,  -4.12,  -3.55,  -4.06,  -5.17,   1.71,   1.65,  -1.59,  -7.65,  -0.63,   0.10,  -0.27,  -7.89,  -6.00,  -0.60,  -2.99,  -3.62,  -5.47,  -1.71,  -5.74
194802,  -7.07,  -8.99,  -3.41,  -6.26,  -4.70,  -4.30,  -7.99,  -4.07,  -6.34,  -8.29,  -6.14,  -6.18,  -6.49,  -5.28,  -6.79,  -5.62,  -3.11,  -6.32,  -3.51,  -3.89,  -1.09,  -7.92,  -2.47,  -5.59,  -4.20,  -6.71,  -4.47,  -2.25,  -5.45,   1.31
194803,   5.65,  11.02,  -1.97,  22.88,   4.62,   2.91,   4.90,   5.94,   7.90,   8.16,   7.34,  12.31,   8.80,  11.04,   6.97,  15.47,   7.74,   9.42,   9.66,   6.01,   0.48,  -1.88,   9.29,   7.72,   7.86,   6.91,   6.32,  -0.43,   7.68,   6.70
194804,   1.12,  -2.24,  -1.27,  -2.96,   5.62,   3.27,   2.32,   1.89,   2.50,   5.31,  -0.47,   2.31,   3.49,  -1.64,   0.86,   2.25,   4.74,   4.75,  10.90,   1.12,   2.65,   4.10,   0.87,   6.09,   3.53,   9.06,   4.61,  -4.51,   4.20,   1.81
194805,   3.26,  12.17,   2.15,   6.89,   8.17,   5.02,   3.87,   6.27,   7.25,  10.87,   9.42,   7.04,   7.36,  16.77,  13.07,   2.87,   2.82,  10.83,   5.41,   5.26,   2.46,   6.67,   5.96,   9.13,   5.32,   2.87,   8.47,   8.54,   9.70,   5.43
194806,  -1.88,  -5.57,  -1.76, -11.98,  -0.33,  -1.84,  -3.10,  -2.52,  -0.06,  -4.45,  -4.38,  -0.27,  -2.00,  -1.36,   0.34,  -4.35,  -1.00,  -0.10,   3.20,   2.08,  -0.96,  -1.03,  -3.35,  -4.01,   0.11,   0.76,  -1.83,  -4.26,  -1.56,   0.03
194807,  -3.45,  -4.99,   4.01,  -7.59,  -4.65,  -2.47,  -1.43,  -4.49,  -5.80,  -3.01,  -6.58,  -3.92,  -7.37,  -7.39,  -4.64,  -1.65,  -3.26,  -3.02,  -7.36,  -4.60,  -1.65,  -7.49,  -5.32,  -4.72,  -4.77,  -6.11,  -8.10,  -4.29,  -5.80,  -4.16
194808,  -0.65,  -0.48,   1.21,   5.50,   0.66,  -0.64,  -2.37,  -2.42,  -0.85,  -2.64,   1.04,   0.39,  -2.26,   1.03,  -0.22,  -0.89,  -1.45,  -0.87,  -2.77,  -0.31,   0.03,   0.38,   5.91,  -0.35,   1.71,  -4.53,   2.41,  -1.88,  -1.26,   1.43
194809,  -5.25,  -1.23,  -3.33,  -9.16,  -7.30,  -3.81,  -2.43,  -3.44,  -2.38,  -5.88,  -4.77,  -2.65,  -5.11,  -3.20,  -3.77,  -2.73,  -2.92,  -6.55,  -4.62,  -1.36,  -1.67,  -5.45,  -5.20,  -4.59,  -4.45,  -3.32,  -1.20,  -3.12,  -1.62,  -3.83
194810,   3.59,   3.83,   3.09,   2.31,   0.46,   3.15,   1.53,   4.92,   7.07,   1.23,   7.56,   8.37,   5.80,   7.75,   7.72,   2.12,   4.38,   7.36,   8.78,   3.54,   1.11,   4.07,   5.11,   5.05,   4.41,   3.56,   3.96,   2.22,   5.92,   2.65
194811,  -6.90,  -8.55,  -4.11,  -4.33, -11.47,  -6.34,  -7.26,  -6.71,  -9.43, -11.33,  -9.83, -14.40, -12.13, -12.15, -14.35, -16.09,  -8.25,  -6.08, -13.09,  -9.53,  -2.08,  -7.49,  -5.21, -11.86, -13.62,  -6.67,  -7.24,  -6.99,  -8.97, -10.61
194812,   0.36,   0.78,   0.55,   4.07,  -4.09,  -1.00,  -1.32,   3.99,   6.74,  -2.62,   0.83,   1.16,   1.18,   5.44,   3.42,   1.43,  -1.56,  -3.32,   4.27,   2.17,  -0.39,  -1.52,   4.35,   4.12,   0.90,   0.47,   0.71,   0.93,   4.57,  -2.02
194901,   3.12,   0.99,   4.39,   1.63,   3.87,  -0.56,   4.06,   4.31,  -0.29,   1.98,   0.57,   0.79,  -1.77,  -3.04,   2.60,   1.45,   1.63,  -4.73,  -3.96,   4.31,  -1.26,   3.08,   1.31,   0.12,   0.06,   2.61,   0.82,  -1.68,  -1.30,   2.87
194902,  -2.78,  -2.38,  -0.71,   1.56,  -7.46,  -8.81,  -5.13,  -1.49,  -3.08,  -3.02,  -3.31,  -7.26,  -4.23,  -6.00,  -5.22,  -2.81,  -0.40,  -8.64,  -4.81,   0.28,  -0.31,  -6.43,  -1.97,  -1.41,  -6.38,  -4.33,  -3.11,   0.60,  -1.04,  -3.19
194903,   3.56,   5.74,   0.57,   1.75,   7.97,   8.83,   2.89,   5.12,   2.58,  -2.87,   3.67,   0.82,   4.99,   4.73,   3.23,   6.26,   3.88,   2.66,   5.76,   3.09,  -0.15,   2.42,   5.31,   2.82,   3.21,   2.39,   4.08,   1.88,   6.08,   3.85
194904,  -2.21,  -3.39,  -0.13,  -0.06,  -0.83,  -2.03,  -2.66,   0.00,  -2.45,  -4.33,  -3.99,  -4.98,  -4.06,  -4.19,  -4.09,  -5.10,   1.09,  -8.20,   0.79,   0.85,  -1.64,   7.26,  -3.19,  -4.07,  -2.97,  -2.35,  -1.98,   0.15,  -0.28,  -7.65
194905,  -1.75,  -1.71,   2.17,  -2.78,  -2.27,  -0.76,  -1.64,  -2.41,  -1.63,  -2.43,  -3.76,  -8.04,  -3.78,  -6.10,  -4.80,  -7.76,  -2.73,  -2.47,  -6.25,  -1.05,  -2.19,  -4.51,  -4.73,  -4.23,  -4.17,  -5.85,  -0.12,  -1.07,  -2.19,  -2.33
194906,  -0.20,   3.28,  -0.21,  -0.92,  -0.94,  -2.28,   2.31,   1.73,   0.08,   4.28,   0.50,  -1.74,   2.18,  -0.89,   0.71,  -1.05,  -2.53,  -1.24,  -1.69,  -1.54,  -0.46,   2.48,  -0.78,  -0.88,  -2.75,   1.91,   2.49,  -0.35,  -1.93,  -1.54
194907,   5.06,   5.82,   2.80,   0.98,   3.21,   8.14,   3.60,   5.76,   4.55,   5.32,   7.06,   7.83,   4.99,   7.04,   9.12,   3.42,   3.30,   6.42,   6.11,   4.42,   2.41,   9.02,   6.64,   5.72,   3.73,   3.49,   4.98,   3.97,   6.27,   8.72
194908,   4.07,   3.80,   2.82,  -0.94,   4.82,   3.80,   2.26,  -0.33,   2.29,   1.28,   1.92,  -1.79,   1.57,   0.65,   0.06,  -0.53,   1.26,   1.51,   4.65,   3.20,   0.95,   1.49,  -0.19,   4.59,   0.06,   2.63,   0.75,  -2.27,   2.41,   0.06
194909,   1.60,   5.67,   2.49,   0.67,   2.25,   2.91,   3.32,   1.49,   4.64,   2.21,   2.31,   3.20,   2.58,   2.62,   2.09,   3.00,   1.39,   2.31,   2.98,   3.46,  -0.32,  10.90,   3.56,   4.29,   2.17,   4.31,   1.78,   1.96,   5.45,   3.81
194910,   1.90,   1.62,  -1.67,   3.65,   2.02,   8.13,   3.99,   3.15,   4.11,   0.29,   3.17,   5.07,   2.70,   2.60,   7.11,   3.20,   3.72,  -0.65,   3.68,   0.92,   1.88,   1.63,   5.32,   4.71,   0.50,   0.34,   0.47,   2.02,   4.18,   2.01
194911,   1.07,   3.77,   1.02,  -0.65,  -3.14,   3.72,  -1.13,   3.86,   3.50,  -0.16,   2.02,   0.76,  -1.93,   3.52,  -0.04,  -2.04,  -1.32,   2.62,  -4.60,   2.74,   1.65,  -0.69,   3.29,   1.30,  -0.03,   0.25,   1.16,   1.73,   2.57,   0.67
194912,   5.14,   4.35,   2.11,   9.66,   5.50,   4.94,   3.67,   8.33,   5.33,   6.51,   6.54,   5.40,   4.75,   7.33,   8.30,   6.14,   0.71,  -3.21,   0.63,   2.76,   0.09,   3.99,   8.16,   8.05,   7.66,   3.94,   4.04,   4.00,   5.02,   1.64
195001,   1.23,   2.54,  -1.15,  -0.65,   2.37,   1.87,  -0.03,   0.87,   0.90,   2.68,  -0.32,   3.69,   1.31,   5.40,   1.58,   4.89,   4.19,   3.55,  -0.83,   3.26,   1.86,   2.50,   3.20,   3.35,   4.46,   0.23,   0.15,   1.44,   1.35,   4.05
195002,   1.33,  -1.64,   0.39,  -7.28,  -2.04,   3.90,  -5.43,   1.44,   0.39,  -5.08,   1.21,   2.11,  -0.12,   4.09,   2.01,   5.09,  -1.61,  -3.36,  -1.51,   2.11,   0.64,  -2.00,   1.66,  -1.08,   1.11,   1.19,   1.65,   1.57,   3.13,   3.80
195003,  -0.55,  -0.31,  -0.97,  -3.46,  -4.20,  -0.60,  -1.23,  -3.21,   3.09,  -5.22,   0.41,  -1.96,  -1.72,   3.26,   1.40,  -4.02,  -2.48,  -0.47,   4.72,  -0.13,   3.10,   2.09,  -0.62,   1.80,  -1.48,  -0.61,  -0.55,  -2.40,  -0.71,   0.88
195004,  -0.60,   1.60,  -3.14,   3.43,   1.80,   6.22,   1.28,   5.32,   9.38,   6.97,   4.13,   7.57,   2.52,   6.51,  10.32,  10.61,   4.13,  -3.64,   3.17,   0.58,   2.37,  -0.16,   1.62,   7.49,   0.87,  -1.14,  -0.60,   6.20,  -0.54,   0.08
195005,   1.95,  -0.80,  -0.18,  -4.62,   0.11,   4.84,   6.04,   3.46,   6.62,   2.71,   3.74,   4.93,   3.48,   0.11,   5.35,  -2.18,   1.43,   6.97,   7.80,   1.35,   1.95,   9.82,  -0.30,   6.32,  -0.41,   4.59,   2.45,  -1.13,   4.02,   2.94
195006,  -7.21,  -2.17,  -4.73,  -7.81,  -7.09,  -8.70,  -6.04,  -4.49,  -6.90,  -5.34,  -9.19,  -4.71,  -6.45,  -8.58,  -4.15,  -5.67,  -6.53,  -8.36,  -4.69,  -8.21,  -5.64, -10.05,  -8.86, -10.76,  -6.81,  -7.45,  -4.63,  -4.82,  -8.57,  -8.60
195007,  -2.71,   5.13,  -2.25,   4.80,  -4.48,  -2.93,   5.61,  -7.17,  -3.84,  16.37,  -7.32,  12.13,   4.73,  -1.64,  -1.13,  17.36,   3.33,  19.82,   8.53,  -5.55,  -1.33,  -1.00,  -5.13,   0.33,  15.91,   2.59,  -1.35,  -0.68,  -6.45,  -7.57
195008,   4.81,   2.16,  -0.38,   1.92,   8.10,  10.52,   3.07,   3.16,   6.44,   2.12,   5.86,   3.09,   3.82,   3.61,   5.41,  -2.87,   6.99,   4.18,   3.19,   2.81,   2.53,   5.37,   6.89,   9.62,  -0.61,  11.20,   3.24,   4.13,   4.12,   3.71
195009,   2.96,  10.13,   4.51,   9.81,  13.71,   3.12,   5.26,   5.82,   3.98,   3.88,   7.83,   2.98,   6.31,   3.79,   7.75,  -1.14,   9.16,   2.34,   3.42,   3.90,  -1.90,   4.53,   5.29,   6.14,   3.86,   5.15,   8.32,   6.38,   7.56,   6.93
195010,  -0.73,  -2.21,  -0.19,  -5.99,  -0.99,  -1.56,  -0.48,  -2.05,  -0.88,  -1.37,  -1.97,   3.98,  -1.04,  -1.47,   0.34,   2.16,  -1.99,  -2.92,   0.26,  -1.14,   0.21,  -1.16,  -1.64,  -0.13,  -1.10,  -4.56,   0.98,  -2.02,  -1.38,  -0.24
195011,  -1.35,   2.18,  -2.92,  -2.15,  -2.65,   0.62,   2.77,   3.66,   5.79,   1.01,   2.10,   2.24,   1.26,  -1.12,  -5.79,   3.59,   6.16,   2.96,   3.31,  -1.73,  -0.26,  -3.27,   5.65,   5.55,   2.72,   2.84,  -0.21,  -0.14,   2.03,  -0.32
195012,   0.81,   6.01,  -1.60,  -0.25,   1.26,   0.93,   5.26,   5.61,   5.62,  11.96,   1.84,   7.16,   8.88,   3.69,   1.91,  10.30,   6.91,  13.27,   8.39,   3.06,   0.35,   0.11,   1.24,   5.78,  15.02,   3.50,   1.83,   3.68,   3.44,   1.05
195101,   4.14,   7.63,   3.35,   4.81,   6.75,   7.00,   1.81,   2.89,   4.12,   3.41,   7.90,   8.47,   5.95,  10.36,   8.97,   3.07,   6.13,   3.77,   6.12,   4.60,   1.88,   5.02,   3.40,   5.17,   8.04,   4.61,   3.28,   6.11,   2.14,   9.83
195102,   1.41,  -3.55,  -1.86,   4.07,  -0.10,   1.26,   2.31,   1.09,   2.15,   1.87,   2.86,  -3.41,   1.39,   1.03,   1.25,   1.11,  -0.61,   0.06,   0.18,   2.57,   4.09,  -1.41,  -0.08,   0.99,  -2.81,  -1.59,   2.70,   1.89,   2.02,   0.34
195103,  -1.97,  -5.04,  -1.88,  -6.90,  -5.11,  -3.33,  -5.53,   1.39,  -2.01,  -9.69,  -0.07,  -5.56,  -5.12,  -1.23,   0.71,  -8.41,  -4.53,  -7.33,  -2.41,  -1.96,  -2.50,  -0.34,  -2.51,  -2.18,  -4.30,   0.03,  -2.56,  -3.89,  -0.94,  -0.53
195104,   0.10,   3.85,  -0.59,   1.49,   2.51,   0.36,   0.91,  10.21,   8.26,   1.86,   3.60,   6.55,   4.37,   2.64,   4.28,   5.29,   6.08,  -2.73,  10.98,  -0.17,   0.85,  -1.39,   3.64,   8.60,   3.38,  -0.51,   0.17,  -1.82,   3.87,   3.07
195105,  -1.63,  -0.32,  -3.20,  -4.83,  -5.67,  -2.50,  -2.72,   1.24,  -0.97,  -1.41,  -4.78,  -4.98,  -3.06,  -3.71,  -6.62,  -3.57,  -3.96,  -1.74,  -4.07,  -0.49,  -0.44,  -1.51,  -2.04,  -3.58,  -4.67,   6.88,  -2.33,  -6.24,  -2.04,  -1.97
195106,  -4.00,  -2.87,  -3.96,  -1.61,  -4.06,  -8.61,  -3.25,   0.54,  -0.90,  -5.71,  -2.79,  -8.54,  -5.56,  -2.54,  -6.83,  -9.42,  -5.00,  -0.93,   1.01,  -1.09,  -1.62,  -2.70,  -2.10,  -1.95,  -8.12,  -7.40,  -2.75,  -5.16,  -1.23,  -1.78
195107,   2.91,   4.20,   3.07,   7.21,   1.76,   6.58,   0.79,  14.19,   8.11,   2.08,   7.15,   9.68,   6.21,   4.99,   4.29,   9.74,   6.79,   5.01,  11.42,   4.97,   2.80,   1.40,   6.75,   6.35,   8.16,  10.08,   2.21,   3.23,   5.88,   4.83
195108,   2.98,   2.49,   2.30,   5.93,   3.43,   2.21,   2.62,  -1.73,   1.73,   3.32,   4.33,   8.39,   4.15,   6.94,   5.39,   2.91,   8.77,   6.94,   4.51,   1.55,   2.63,   0.75,   3.05,   2.90,   0.74,   2.95,   1.92,   4.30,   3.84,   1.55
195109,  -1.50,   3.39,  -0.02,   7.89,  -1.68,   0.22,  -3.02,  -2.04,  -1.49,  -2.68,   0.49,   1.03,   1.13,   2.72,   2.32,   3.62,   5.77,   4.49,  -0.93,   0.84,  -1.43,  -0.78,   2.72,  -1.19,   3.41,  16.86,   2.27,  -0.45,   0.52,   0.14
195110,  -3.72,  -4.47,  -2.36,  -3.58,  -0.51,  -3.47,  -0.91,  -6.16,  -7.74,  -3.99,  -2.14,  -1.56,  -2.82,  -6.64,  -2.09,  -1.67,  -5.15,  -1.75,   1.03,   0.27,  -1.08,   0.62,  -6.25,  -3.64,  -4.39, -10.31,  -2.86,   0.25,  -2.03,  -7.21
195111,  -0.95,  -1.86,  -1.26,  -0.73,   1.70,  -0.94,  -1.21,  -1.04,  -0.49,   0.05,  -1.94,  -0.65,   1.02,   1.52,  -0.21,  -3.34,   0.42,   3.04,  -2.20,   1.17,   0.30,  -0.42,   3.06,   0.73,   1.14,   0.37,   0.44,   0.84,   2.79,   1.33
195112,   1.72,   2.37,   0.60,  -3.58,  -3.36,   1.94,   0.74,   4.77,   7.92,   0.83,   2.42,   0.15,   2.68,   3.89,   3.28,   0.37,  -2.05,  -1.70,   4.69,   2.75,  -0.41,   0.37,   4.41,   3.01,   0.97,  -0.84,  -0.75,   0.47,   5.24,   2.90
195201,   0.60,  -4.49,   5.21,  -0.18,  -1.92,  -0.07,   0.64,   0.48,  -3.50,  -5.42,   0.09,   3.03,   0.40,  -1.11,  -1.37,   3.24,   4.78,   4.57,   6.54,   2.60,   0.18,   6.21,  -2.60,   0.45,   3.51,  -0.19,  -0.95,   2.03,   2.60,   1.75
195202,  -1.79,  -4.02,  -4.13,  -0.42,  -2.30,  -0.65,  -4.25,  -4.61,  -3.95,  -4.27,  -2.49,  -7.33,  -3.06,  -4.19,  -1.86,  -4.49,  -6.03,   0.37,  -4.38,   0.26,  -0.64,  -2.84,  -2.73,  -3.21,  -2.33,  -3.62,  -4.49,  -0.57,  -0.38,  -6.71
195203,   0.82,  -0.66,   1.59,  -0.53,   2.16,   2.01,   2.27,   0.13,   3.16,   3.65,   2.89,   1.54,   2.55,   6.89,   8.67,   0.87,   1.80,  -0.26,   8.75,   1.75,  -0.18,   0.38,   0.41,   2.17,   7.67,  -1.07,   2.37,   4.66,   2.76,   3.30
195204,  -2.20,  -9.83,  -3.83,  -5.89,  -3.03,  -6.11,  -3.45,  -5.68,  -7.44,  -5.41,  -4.09,  -7.98,  -4.84,  -4.00,  -3.92,  -4.49,  -5.81,  -8.21,  -7.71,  -2.21,  -0.75,  -1.91,  -2.64,  -6.10,  -3.60,  -6.79,  -1.86,  -2.05,  -1.59,  -4.50
195205,   1.89,   0.94,  -1.62,  -7.98,   1.87,  -0.73,   1.28,   2.10,   6.06,   4.41,   3.07,   1.31,   2.55,   2.74,   2.60,   4.40,   1.28,   3.86,   2.49,   2.55,   1.01,  -0.66,   2.32,   1.99,   3.61,   3.25,   1.96,   0.69,   2.09,  -0.16
195206,   1.74,   2.17,   3.42,  -0.55,  -0.03,   2.05,   1.94,  -1.28,   3.81,   5.35,   1.39,   5.41,   1.09,   5.82,   6.04,   5.03,   4.00,   1.40,   5.42,   0.55,   0.62,   0.30,   3.94,   4.24,   4.80,   2.38,   2.75,   0.77,   1.80,  -0.84
195207,   0.28,   5.12,  -0.81,  -1.38,   1.61,   1.32,   2.91,  -4.56,   1.11,  -2.17,   1.11,   3.29,   3.51,   1.22,   2.33,   0.58,   1.55,   0.35,  -1.12,   1.65,   0.25,  -0.89,   1.37,   3.41,   0.46,  -1.50,   2.01,  -0.84,   2.49,   4.15
195208,   0.87,  -0.80,   0.34,   5.04,  -1.99,  -0.09,  -2.17,  -1.01,  -2.16,  -0.88,  -1.49,  -3.65,  -2.37,  -0.18,   0.15,  -0.48,  -0.75,  -1.88,  -3.71,   1.42,   0.87,  -0.01,  -0.82,  -1.96,  -0.83,  -2.29,  -0.91,   3.17,  -1.58,   0.36
195209,  -2.46, -13.02,  -0.86,  -2.59,  -0.85,  -1.14,  -1.69,  -4.58,  -1.85,  -5.85,  -2.41,  -4.12,  -2.60,   1.52,  -1.09,  -1.99,  -2.72,  -0.04,  -4.43,  -0.23,  -1.77,  -3.18,  -1.73,  -0.96,  -2.37,  -4.39,  -0.88,   0.88,  -0.22,  -0.50
195210,  -1.93,  -2.91,   7.19,  -6.29,   0.03,   0.23,  -3.36,  -1.54,  -2.11,  -7.41,  -2.13,  -1.58,  -2.42,  -0.79,   1.25,   0.21,  -5.01,  -2.29,   0.31,  -0.06,   0.92,   1.73,  -1.95,  -1.96,   0.00,   0.29,  -1.42,  -1.09,  -3.33,  -5.32
195211,   4.01,   9.09,   6.70,   8.06,   2.70,   4.91,   6.83,   6.63,   9.09,   5.02,   5.93,   5.98,   6.71,  10.14,   6.05,   4.46,   4.92,   8.73,   0.78,   4.66,   3.90,  -1.82,   6.17,   7.56,   6.65,   3.92,   3.51,  -0.51,   6.80,   7.14
195212,   0.93,  -0.95,   0.23,   5.56,   1.86,   0.81,  -0.41,  -2.32,   1.45,   3.88,   2.07,   3.82,   1.31,   1.81,   6.86,   1.51,   1.80,  -2.34,   4.55,   1.50,  -0.36,  -1.27,   3.36,   2.75,   3.13,   1.87,   0.56,   3.76,   3.46,  -0.59
195301,   2.44,  -0.22,   4.74,   0.45,   3.20,   0.09,   0.32,  -5.33,   0.19,  -3.01,   0.85,   1.42,  -0.34,  -3.35,  -0.45,   6.35,  -0.26,   1.73,  -3.11,   0.60,   1.03,   2.57,  -0.31,  -1.42,   1.55,  -0.80,   0.66,   3.09,  -0.44,   2.22
195302,  -0.01,  -0.27,   3.78,   3.76,   4.18,  -0.99,   3.23,   1.62,  -3.30,   0.95,  -0.42,  -1.61,  -1.29,   0.03,  -2.47,   0.83,   2.41,  -1.47,  -0.68,   0.08,  -0.45,  -1.05,   0.49,   0.31,  -1.74,  -1.98,  -0.73,   2.36,  -1.01,  -2.68
195303,  -0.99,  -2.06,  -4.71,   3.96,  -1.58,  -0.80,  -2.75,  -0.65,  -0.08,  -5.20,  -0.67,  -5.06,  -1.38,  -2.32,  -4.69,  -4.70,  -4.15,  -7.12,  -0.54,  -0.33,  -1.82,   3.31,   0.37,  -1.24,  -2.91,  -1.80,  -0.85,   0.99,   0.27,   1.67
195304,  -0.81,  -4.25,   4.50,  -2.85,  -1.81,  -3.95,  -1.44,  -5.40,  -3.50,  -3.23,  -2.31,  -2.06,  -2.09,   0.62,  -2.08,  -4.36,  -2.08,  -6.97,  -5.19,  -3.27,  -1.04,  -0.99,  -2.51,  -2.36,  -3.19,  -4.04,  -0.91,  -1.36,  -4.59,  -1.69
195305,  -0.22,   0.25,  -1.10,  -0.23,   0.05,  -0.20,  -0.01,  -0.53,  -0.55,  -0.98,  -0.51,  -1.17,  -0.77,   0.68,  -1.63,   2.23,  -2.84,  -1.36,   0.76,  -0.61,   0.35,   5.71,   1.11,   0.63,   2.13,   0.24,   1.03,  -0.69,   0.02,   1.10
195306,  -1.98,  -1.06,   1.14,  -2.96,  -4.32,  -5.03,  -2.23,  -3.82,  -1.42,  -0.70,  -4.87,  -3.28,  -4.95,  -2.59,  -3.11,  -4.10,  -4.24,  -4.01,  -0.11,  -3.46,  -0.93,   0.43,  -2.79,  -1.03,  -1.63,  -6.65,  -2.28,  -3.94,  -3.79,  -1.44
195307,   2.20,   3.10,   4.68,   2.98,  -0.63,   4.84,   0.01,   3.56,   2.59,   1.01,   2.15,   3.28,   0.36,   2.40,   0.53,  -0.26,   1.16,   0.22,   3.94,   3.05,   0.94,  -0.36,   2.09,   3.04,   1.17,  -0.74,   1.93,   1.29,   1.30,   0.59
195308,  -3.18,  -3.12,  -6.55,  -6.69,  -5.29,  -3.98,  -1.70,  -0.41,  -3.34,  -5.94,  -4.80,  -9.32,  -6.80,  -6.32,  -7.97,  -4.20,  -7.55,  -8.21,  -7.53,  -0.78,  -0.86,  -3.63,  -1.68,  -5.97,  -9.30,   0.28,  -3.04,  -9.38,  -3.44,  -2.10
195309,  -0.69,  -3.61,   3.46,  -3.54,   1.01,  -1.79,  -2.46,   0.05,   1.63,  -2.64,   0.40,  -0.86,  -0.72,   4.25,  -0.55,   0.41,  -0.94,  -3.86,  -1.99,   1.08,   0.32,  -0.97,  -0.20,   3.48,  -2.12,  -2.70,  -0.11,  -0.88,   0.02,  -1.17
195310,   0.94,   2.47,  -1.95,   2.45,   4.99,   5.77,   1.75,   2.45,   4.48,  -0.01,   5.62,   8.25,   3.93,   8.43,   8.02,   5.41,   3.32,   1.33,   5.57,   4.11,   1.39,   5.61,   4.67,   6.69,   3.32,   0.51,   0.68,  -0.06,   4.48,   3.62
195311,   2.00,   4.02,  -9.10,   9.89,   1.97,   4.03,   0.16,   7.22,   3.68,  -1.58,   2.98,   0.36,   2.42,   5.87,  -0.71,   3.43,  -1.36,   2.86,   0.58,   2.51,   2.23,   1.14,   1.17,   6.15,   0.86,   1.09,   2.43,   1.37,   3.37,   2.67
195312,   0.68,  -1.94,  -4.89,   1.06,   1.38,  -0.54,  -2.31,  -1.92,   0.63,  -3.76,   0.81,  -1.47,  -1.20,  -1.66,  -0.93,   0.62,  -4.02,  -5.83,   0.39,   0.19,  -0.89,   1.82,   2.70,   0.79,  -4.64,  -0.66,   0.58,  -1.32,  -0.35,   4.27
195401,   4.02,   5.98,   2.07,   3.10,   3.96,   3.57,   2.61,   5.58,   1.01,   7.32,   6.26,   7.55,   7.81,   7.15,   5.64,   7.63,   8.19,   9.32,   8.59,   2.97,   1.89,   1.42,   6.24,   4.19,   7.70,   6.83,   2.88,   5.81,   3.88,   4.92
195402,  -0.64,  -0.75,  -5.06,   2.12,   3.77,  -0.73,   1.37,  -0.67,  -0.63,   0.97,   1.76,  -1.07,   2.02,   5.25,   0.13,   4.80,   3.46,  -7.91,   1.89,   1.22,   2.57,   0.47,   3.80,   0.70,   0.18,   2.52,  -0.45,   0.46,   1.14,   1.53
